"BindingDB MonomerID","Ligand SMILES","Gbinding Average"
35867,"Clc1ccc(cc1)-c1ncc(nc1-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1",6.9431
35868,"Clc1ccc(cc1)-c1nc(cnc1-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1",8.0
35869,"O=C(NN1CCCCC1)c1cnc(-c2ccccc2)c(n1)-c1ccccc1",5.9629
35870,"Brc1ccc(cc1)-c1ncc(nc1-c1ccc(Br)cc1)C(=O)NN1CCCCC1",9.0
35872,"COc1ccc(cc1)-c1ncc(nc1-c1ccc(OC)cc1)C(=O)NN1CCCCC1",7.5239
35873,"Clc1ccc(cc1)-c1ncc(nc1-c1ccc(Cl)cc1)C(=O)NN1CCCCC1",8.2439
35874,"Clc1ccccc1-c1ncc(nc1-c1ccccc1Cl)C(=O)NN1CCCCC1",6.6048
35875,"Brc1ccc(cc1)-c1ncc(nc1-c1ccc(Br)cc1)C(=O)NC1CCCCC1",7.9586
35876,"Cc1ccc(cc1)-c1ncc(nc1-c1ccc(C)cc1)C(=O)NC1CCCCC1",7.8861
35877,"COc1ccc(cc1)-c1ncc(nc1-c1ccc(OC)cc1)C(=O)NC1CCCCC1",7.9434
35878,"Clc1ccc(cc1)-c1ncc(nc1-c1ccc(Cl)cc1)C(=O)NC1CCCCC1",7.7506
35879,"Clc1ccccc1-c1ncc(nc1-c1ccccc1Cl)C(=O)NC1CCCCC1",5.8019
35880,"O=C(Nc1ccccc1)c1cnc(-c2ccccc2)c(n1)-c1ccccc1",5.4022
35882,"COc1ccc(cc1)-c1ncc(nc1-c1ccc(OC)cc1)C(=O)Nc1ccccc1",6.7723
35883,"Clc1ccc(cc1)-c1ncc(nc1-c1ccc(Cl)cc1)C(=O)Nc1ccccc1",7.0969
35884,"Clc1ccccc1-c1ncc(nc1-c1ccccc1Cl)C(=O)Nc1ccccc1",6.1175
45519,"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4ccccc34)-c3ccc(C)cc3C)cc2)no1",5.0391
50459,"Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4c(C)cc(C)cc34)-c3ccccn3)cc2)c1C",4.6091
50683,"O=C(Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)c1cc(nc2ccccc12)-c1ccncc1",5.6517
57190,"COc1ccc(-c2n[nH]c(C)c2-c2ccc(Cl)cc2)c(O)c1",6.239
61397,"CCOC(=O)c1cc2c(nc3ccccn3c2=O)n(Cc2ccccc2)c1=N",7.1612
61535,"CC1CCc2c(C1)sc1nc(C)nc(N3CCN(CC3)C(=O)c3ccco3)c21",5.4989
