PDB Code,Max Similarity
3qfd,1.0
1h6h,0.9555555555555556
6ml9,1.0
3nq3,1.0
1sdu,1.0
6mle,1.0
4b5w,1.0
3uxl,0.3333333333333333
6eog,0.6060606060606061
6p89,0.32051282051282054
1qbs,1.0
4w97,0.7368421052631579
4u1b,0.3793103448275862
4avj,0.5094339622641509
3acx,0.3384615384615385
5fut,0.2545454545454545
5ot8,0.5384615384615384
4hpi,0.6862745098039216
4xu2,0.5306122448979592
5xo7,0.6153846153846154
2dri,1.0
4q4q,0.5769230769230769
4bt5,0.42857142857142855
2jdu,1.0
6p87,0.30985915492957744
4wn5,0.5769230769230769
3su1,0.6068376068376068
5fyx,0.5370370370370371
5ko5,0.6
1jeu,0.7954545454545454
6hke,0.5
1b8y,0.3389830508474576
6b4u,0.4117647058823529
5ad1,1.0
4bj8,1.0
6gl8,0.3592233009708738
3zhx,0.7021276595744681
5zyg,0.59375
1ndw,0.4576271186440678
1jzs,0.28125
5lz7,0.5555555555555556
1lee,0.5180722891566265
4x50,1.0
4r4c,0.6811594202898551
5hwv,1.0
4ndu,1.0
2i80,0.38461538461538464
2o4j,0.52
5ult,0.8227848101265823
3nhi,0.6666666666666666
6t1m,0.36363636363636365
4epy,0.39325842696629215
5nau,0.46153846153846156
3t2q,0.5294117647058824
3e5u,0.5483870967741935
3nu5,0.7236842105263158
5kr2,1.0
5j3l,0.4117647058823529
1ajq,0.6129032258064516
6gwe,0.39080459770114945
5ka7,1.0
1nl9,0.449438202247191
1ogz,1.0
1msn,1.0
1ajp,0.5357142857142857
1izh,0.6619718309859155
2doo,0.4
4kz3,0.3409090909090909
5dgu,0.9054054054054054
1ew8,0.5263157894736842
3zi8,0.5238095238095238
4ynb,0.6610169491525424
1srg,0.7894736842105263
3lea,0.3076923076923077
3o9p,0.5121951219512195
4gah,0.8425925925925926
2fzk,0.40625
2q8z,0.5614035087719298
6jbb,1.0
5cp5,0.3142857142857143
1aid,0.25
4kwg,0.3235294117647059
5eqy,0.2987012987012987
2qdt,0.42424242424242425
3pb7,1.0
1drv,0.875
1ex8,0.8055555555555556
1yvm,0.4090909090909091
4b6o,1.0
3l4v,0.8409090909090909
3jup,1.0
3n7o,0.4492753623188406
2xbw,0.6027397260273972
2jf4,0.6808510638297872
4cr5,0.5172413793103449
3p8n,0.48120300751879697
1n51,1.0
2jdp,1.0
3zpu,0.8470588235294118
1f8d,0.8222222222222222
1olx,1.0
6q4e,0.3076923076923077
3ljg,0.8113207547169812
3m8u,0.8043478260869565
4bt4,0.42857142857142855
3zi0,0.5324675324675324
1r9l,1.0
4fxq,0.2777777777777778
6g29,0.25
2gh9,1.0
4y3j,0.4
2vzr,1.0
3a6t,0.5081967213114754
5hvt,0.3220338983050847
5zw6,1.0
3rt8,0.46938775510204084
4yo8,0.46153846153846156
4zow,0.47692307692307695
6cq1,0.7529411764705882
3tcg,0.5769230769230769
3pcj,0.41935483870967744
2clh,1.0
1km3,1.0
4k55,0.7
2f8g,1.0
3gi5,0.8023255813953488
6gvz,0.75
1hee,0.5853658536585366
1ecq,0.5
3s45,0.7236842105263158
1g7g,0.4473684210526316
2wyj,0.24074074074074073
2xej,0.4057971014492754
4u43,0.43137254901960786
4hw3,0.5166666666666667
4f6u,0.8928571428571429
2yaz,1.0
1pzi,0.6938775510204082
5fbi,0.39655172413793105
2jg0,0.3181818181818182
4qfp,0.5
3t09,0.5294117647058824
5dxt,1.0
1jmg,1.0
2v2q,0.4647887323943662
4i8w,0.611764705882353
2wyg,0.24074074074074073
3wjw,0.7755102040816326
4l51,1.0
1fao,1.0
3wz7,0.345679012345679
1bju,0.5476190476190477
5o2d,0.3617021276595745
5mrm,0.36363636363636365
3pce,0.5757575757575758
3nxq,0.4626865671641791
6d1h,0.35
5nvx,0.821917808219178
1fzq,1.0
1jlr,0.9821428571428571
1qhc,0.65
3mv0,0.5294117647058824
3nu4,0.7236842105263158
6arn,0.6136363636363636
6jap,1.0
4bps,0.6
6o5t,0.26
4aia,0.34210526315789475
2xog,0.7831325301204819
4cjp,0.42857142857142855
5u6j,0.47619047619047616
4bb9,0.55
4pb2,0.6875
5btx,1.0
5zni,0.23595505617977527
2b4l,1.0
1phw,0.5294117647058824
3zq9,0.6666666666666666
2y81,0.3888888888888889
2pv1,0.6864406779661016
1kjr,0.65625
4css,0.6382978723404256
5fs5,1.0
4u6c,0.35294117647058826
5yh8,0.48936170212765956
6fnq,0.6052631578947368
1nz7,0.4444444444444444
6f9g,0.42857142857142855
1gar,0.3684210526315789
6hai,0.875
3el4,1.0
5fnu,0.3793103448275862
1x39,0.5957446808510638
6jay,0.27058823529411763
2r5p,1.0
1a9q,0.4827586206896552
4bs0,0.3829787234042553
5igm,0.26666666666666666
3jrx,0.2631578947368421
3lq2,1.0
4zeb,0.7101449275362319
2vl4,1.0
4av4,0.6153846153846154
6dy7,0.4339622641509434
2zz2,1.0
1u1w,0.6296296296296297
6k04,0.5588235294117647
1b3g,0.7954545454545454
3ps1,0.723404255319149
2hah,1.0
1x8r,0.5869565217391305
6r4k,0.38961038961038963
3pck,0.41379310344827586
4tkh,0.7777777777777778
4m0f,0.24175824175824176
6cfc,0.43037974683544306
1uwf,1.0
6qpl,0.352112676056338
5m17,0.6060606060606061
5zg3,0.2708333333333333
4ufi,0.36
3v2n,1.0
3f37,1.0
5nvw,0.7808219178082192
1hlk,1.0
5h9r,1.0
4u71,0.3939393939393939
3f80,0.5862068965517241
2psu,0.43956043956043955
3rv8,0.7209302325581395
6ncn,0.34285714285714286
4zei,0.6129032258064516
2qwd,0.7659574468085106
3rlb,1.0
1f73,0.5909090909090909
1o1s,0.5
5wxh,1.0
6dil,1.0
5e2o,0.4606741573033708
3vf7,0.5408163265306123
6n3w,0.3950617283950617
4ggz,1.0
2x6x,0.9107142857142857
1qbt,0.4666666666666667
5upj,0.41509433962264153
