id,label
molecule_1,2
molecule_2,3
molecule_3,2
molecule_4,2
molecule_5,2
molecule_6,3
molecule_7,2
molecule_8,0
molecule_9,0
molecule_10,3
molecule_11,3
molecule_12,2
molecule_13,2
molecule_14,2
molecule_15,3
molecule_16,2
molecule_17,2
molecule_18,2
molecule_19,3
molecule_20,2
molecule_21,2
molecule_22,3
molecule_23,2
molecule_24,3
molecule_25,3
molecule_26,2
molecule_27,2
molecule_28,1
molecule_29,2
molecule_30,3
molecule_31,2
molecule_32,2
molecule_33,0
molecule_34,3
molecule_35,0
molecule_36,2
molecule_37,2
molecule_38,3
molecule_39,2
molecule_40,2
molecule_41,3
molecule_42,3
molecule_43,2
molecule_44,2
molecule_45,3
molecule_46,3
molecule_47,2
molecule_48,0
molecule_49,0
molecule_50,0
molecule_51,0
molecule_52,1
molecule_53,0
molecule_54,0
molecule_55,0
molecule_56,0
molecule_57,0
molecule_58,0
molecule_59,0
molecule_60,0
molecule_61,0
molecule_62,0
molecule_63,1
molecule_64,0
molecule_65,0
molecule_66,1
molecule_67,1
molecule_68,1
molecule_69,1
molecule_70,0
molecule_71,0
molecule_72,0
molecule_73,0
molecule_74,0
molecule_75,0
molecule_76,0
molecule_77,0
molecule_78,0
molecule_79,0
molecule_80,1
molecule_81,1
molecule_82,1
molecule_83,3
molecule_84,1
molecule_85,1
molecule_86,1
molecule_87,0
molecule_88,0
molecule_89,1
molecule_90,1
molecule_91,1
molecule_92,1
molecule_93,1
molecule_94,1
molecule_95,1
molecule_96,1
molecule_97,1
molecule_98,3
molecule_99,2
molecule_100,3
molecule_101,3
molecule_102,3
molecule_103,3
molecule_104,2
molecule_105,2
molecule_106,3
molecule_107,3
molecule_108,2
molecule_109,2
molecule_110,3
molecule_111,3
molecule_112,3
molecule_113,2
molecule_114,3
