PDB Code,Max Similarity
3qfd,1.0
1h6h,0.1694915254237288
6ml9,0.1625
3nq3,0.1566265060240964
1sdu,0.98989898989899
6mle,0.16129032258064516
4b5w,0.16129032258064516
3uxl,1.0
6eog,1.0
6p89,0.17142857142857143
1qbs,0.98989898989899
4w97,0.14772727272727273
4u1b,1.0
4avj,1.0
3acx,1.0
5fut,0.1509433962264151
5ot8,0.15
4hpi,1.0
4xu2,0.15254237288135594
5xo7,0.16
2dri,0.14102564102564102
4q4q,0.45879120879120877
4bt5,0.19298245614035087
2jdu,1.0
6p87,0.17142857142857143
6czf,1.0
4wn5,0.17142857142857143
3su1,0.985
5fyx,0.1504424778761062
5ko5,0.450354609929078
1jeu,0.17543859649122806
6hke,0.1643835616438356
1b8y,1.0
6b4u,0.9867549668874173
5ad1,0.15555555555555556
4xtw,0.1935483870967742
4bj8,0.17819706498951782
6gl8,0.5347222222222222
3zhx,0.29521276595744683
5zyg,0.3333333333333333
1ndw,1.0
1jzs,0.15517241379310345
5lz7,1.0
1lee,0.9969788519637462
4x50,1.0
4r4c,1.0
5hwv,0.14545454545454545
4ndu,0.1595744680851064
2i80,0.2
2o4j,1.0
5ult,1.0
3nhi,0.13725490196078433
6t1m,0.15217391304347827
4epy,0.9058823529411765
5nau,1.0
3t2q,0.9980295566502463
3e5u,0.16129032258064516
3nu5,0.98989898989899
5kr2,0.9393939393939394
5j3l,1.0
1ajq,0.3160690571049137
6gwe,0.6366906474820144
5ka7,0.14705882352941177
1nl9,1.0
1ogz,0.152
1msn,0.9797979797979798
1ajp,0.3160690571049137
1izh,1.0
2doo,0.16216216216216217
4kz3,1.0
5dgu,1.0
1ew8,0.17142857142857143
3zi8,0.9887640449438202
4ynb,0.25
1srg,1.0
3lea,0.9961240310077519
3o9p,0.1694915254237288
4gah,0.1568627450980392
2fzk,0.1700036403349108
2q8z,0.9969325153374233
6jbb,0.14035087719298245
5cp5,0.968503937007874
5gof,0.421875
1aid,0.9797979797979798
4kwg,1.0
5eqy,0.4403409090909091
2qdt,1.0
3pb7,0.1891891891891892
1drv,0.17346938775510204
1ex8,1.0
1yvm,1.0
4b6o,0.9929577464788732
3l4v,1.0
3jup,0.9936305732484076
3n7o,0.5336322869955157
4e67,0.16216216216216217
2xbw,1.0
