LPPDB Similarity,PDBBind Similarity
0.28125,1
0.164179104,0.169491525
0.163043478,0.1625
0.193548387,0.156626506
0.153846154,0.98989899
0.189189189,0.161290323
0.204819277,0.161290323
0.152777778,1
0.302222222,1
0.996389892,0.171428571
1,0.98989899
0.162162162,0.147727273
0.516320475,1
1,1
0.31292517,1
0.206060606,0.150943396
0.460251046,0.15
0.146572104,1
1,0.152542373
0.446854664,0.16
0.446511628,0.141025641
0.169491525,0.458791209
0.157894737,0.192982456
1,1
0.148387097,0.171428571
1,1
0.148148148,0.171428571
0.147540984,0.985
0.14,0.150442478
0.555075594,0.45035461
0.206060606,0.175438596
0.987730061,0.164383562
0.142857143,1
0.28125,0.986754967
0.505518764,0.155555556
0.504201681,0.193548387
0.173913043,0.178197065
0.435185185,0.534722222
0.148148148,0.295212766
0.247706422,0.333333333
0.176258993,1
1,0.155172414
0.162162162,1
1,0.996978852
1,1
0.548806941,1
0.193548387,0.145454545
0.18,0.159574468
0.210332103,0.2
0.21888412,1
0.239631336,1
0.73553719,0.137254902
0.148387097,0.152173913
0.159292035,0.905882353
0.142857143,1
0.596330275,0.998029557
0.912863071,0.161290323
0.525896414,0.98989899
0.193548387,0.939393939
1,1
0.558441558,0.316069057
0.578947368,0.636690647
0.152173913,0.147058824
0.528735632,1
0.317829457,0.152
0.188811189,0.97979798
0.272084806,0.316069057
0.164179104,1
0.189655172,0.162162162
0.151515152,1
0.134328358,1
1,0.171428571
0.169811321,0.988764045
0.16,0.25
0.913357401,1
0.162162162,0.996124031
0.189655172,0.169491525
0.161290323,0.156862745
0.174418605,0.17000364
0.28125,0.996932515
1,0.140350877
1,0.968503937
0.171875,0.421875
0.135802469,0.97979798
0.168582375,1
0.588235294,0.440340909
1,1
0.211538462,0.189189189
0.588516746,0.173469388
0.193548387,1
0.192307692,1
0.195918367,0.992957746
0.550200803,1
0.25,0.993630573
0.189655172,0.533632287
0.446735395,0.162162162
0.571428571,1
0.161290323,0.222222222
0.155555556,1
0.996389892,1
0.162790698,0.145454545
0.155555556,0.99122807
0.317829457,1
0.524193548,1
0.605504587,0.142857143
0.197132616,0.401408451
0.566308244,1
0.142857143,0.166666667
0.151515152,0.192982456
0.580275229,0.310533516
0.726457399,0.152542373
0.239631336,0.183333333
0.990825688,0.142857143
0.138888889,0.162790698
0.996941896,1
0.226618705,0.193548387
0.990825688,0.141732283
0.203539823,1
0.512,0.961139896
0.177304965,0.887596899
0.193548387,0.161290323
0.177419355,0.15
0.412844037,0.991869919
0.28125,0.175438596
0.222707424,1
0.534883721,0.185527329
0.317829457,0.995283019
0.196078431,0.222222222
0.515748031,0.152941176
0.177419355,0.98989899
0.142857143,1
0.178571429,0.14516129
0.1875,1
1,0.195652174
0.965853659,1
0.317647059,1
0.162162162,0.324786325
0.169491525,0.998559078
0.162162162,0.484210526
0.405405405,0.993333333
0.193548387,0.470099668
0.580952381,0.153846154
0.218045113,1
0.760504202,1
0.161290323,0.222222222
1,0.169811321
0.148648649,0.998029557
0.142857143,0.199527745
0.148148148,0.996835443
0.588235294,0.139344262
0.186440678,1
0.162790698,0.357894737
0.162162162,0.303418803
0.245412844,1
0.12962963,0.135135135
0.43324937,0.19
0.162162162,1
0.148387097,0.201793722
0.160714286,0.141304348
0.214285714,0.634615385
0.176470588,1
0.201550388,1
0.166666667,1
0.56294964,1
0.350194553,0.179487179
0.160714286,0.139240506
0.285714286,1
0.136986301,0.998021761
0.587155963,0.98989899
0.25617284,0.753333333
0.157142857,0.140350877
0.206766917,0.157894737
0.186602871,0.930735931
0.148387097,0.14893617
0.161290323,0.157024793
0.405405405,0.891891892
0.149253731,0.827361564
0.398648649,0.189189189
0.229166667,1
1,0.177419355
0.161290323,0.162162162
0.3515625,0.193548387
0.173076923,1
0.996409336,0.850980392
0.166666667,1
0.173285199,1
0.152173913,1
0.169491525,0.735483871
0.141304348,0.993670886
0.136986301,1
0.148648649,0.146341463
0.153846154,1
0.164179104,1
0.177419355,0.166666667
1,0.593301435
0.333333333,0.195652174
0.190114068,0.97979798
0.178571429,0.961538462
0.152173913,1
0.534883721,1
0.596330275,1
0.181818182,0.882978723
0.298449612,0.145299145
0.158914729,1
0.707581227,0.163934426
0.29330254,1
0.153846154,1
0.192307692,0.998803828
0.189655172,0.273775216
0.155172414,0.993670886
0.161290323,1
1,0.995348837
0.161290323,0.137931034
0.24742268,1
0.400943396,0.175438596
0.276497696,0.996666667
0.152777778,0.9375
0.233333333,1
0.2,1
0.333333333,1
0.435185185,0.203007519
0.164179104,0.518518519
0.205128205,0.155172414
0.510447761,1
0.29330254,0.378947368
0.996015936,1
0.153846154,0.414342629
0.508522727,0.6421875
1,1
0.176470588,1
0.2,1
0.235494881,1
0.239726027,0.991189427
0.43324937,1
0.140350877,1
0.191570881,1
0.619047619,1
0.148387097,0.655502392
0.14,0.157894737
0.996015936,1
0.193548387,1
0.166666667,0.153846154
0.47706422,0.527777778
0.162790698,1
0.276264591,1
0.234615385,0.98989899
0.484848485,1
0.182539683,0.98989899
0.717488789,1
0.350194553,0.176470588
0.997987928,0.147058824
1,0.97979798
0.161290323,0.98989899
0.197674419,1
0.587719298,0.163934426
0.148387097,0.989247312
0.550200803,0.166666667
0.139344262,0.166666667
0.148148148,0.922641509
0.15,0.990566038
0.193548387,0.15
0.704918033,1
0.315789474,0.664122137
0.171875,1
0.398523985,0.263929619
0.162790698,1
0.149122807,1
0.152671756,0.989473684
0.981651376,1
0.514606742,0.142857143
0.441860465,0.148648649
0.156626506,1
1,0.592156863
0.18452381,0.998021761
0.155844156,0.151162791
0.166666667,1
0.723140496,1
0.138888889,1
0.161290323,0.15
0.147368421,1
0.148148148,1
0.206896552,0.2
0.5,0.208333333
0.548736462,0.994736842
0.169811321,1
